Date,Open,High,Low,Close,Adj Close,Volume
2023-07-17,8810.0,8820.0,8630.0,8680.0,8680.0,12765100
2023-07-19,8760.0,8780.0,8500.0,8500.0,8500.0,18869000
2023-07-20,8510.0,8580.0,8400.0,8490.0,8490.0,9679000
2023-07-21,8530.0,8700.0,8520.0,8650.0,8650.0,12012500
2023-07-24,8740.0,8850.0,8660.0,8790.0,8790.0,15737100
2023-07-26,8660.0,8700.0,8560.0,8640.0,8640.0,11126300
2023-07-28,8540.0,8800.0,8540.0,8800.0,8800.0,14159100
2023-08-03,9170.0,9170.0,8900.0,8900.0,8900.0,15962300
2023-08-04,8900.0,9150.0,8870.0,9150.0,9150.0,23099600
2023-08-07,9250.0,9450.0,9010.0,9180.0,9180.0,15868300
2023-08-08,9240.0,9820.0,9170.0,9810.0,9810.0,47248500
2023-08-09,9720.0,9910.0,9480.0,9550.0,9550.0,25251600
2023-08-10,9550.0,9590.0,9210.0,9210.0,9210.0,22718000
2023-08-11,9350.0,9350.0,9000.0,9270.0,9270.0,19516700
2023-08-14,9300.0,9330.0,9180.0,9200.0,9200.0,20269500
2023-08-15,9350.0,9430.0,9170.0,9200.0,9200.0,15127600
2023-08-16,9250.0,9300.0,9160.0,9200.0,9200.0,10476200
2023-08-17,9250.0,9290.0,9100.0,9100.0,9100.0,14760600
2023-08-18,9040.0,9060.0,8470.0,8470.0,8470.0,40015900
2023-08-21,8790.0,8790.0,8430.0,8570.0,8570.0,12830700
2023-08-22,8670.0,8990.0,8210.0,8990.0,8990.0,19289100
2023-08-23,9050.0,9080.0,8750.0,8800.0,8800.0,11134800
2023-08-24,8800.0,9350.0,8700.0,9290.0,9290.0,24859800
2023-08-25,9200.0,9240.0,8900.0,8920.0,8920.0,16709100
2023-08-28,8960.0,9040.0,8870.0,9040.0,9040.0,9793700
2023-08-29,9050.0,9180.0,8900.0,8900.0,8900.0,17502900
2023-08-30,8950.0,9020.0,8810.0,8900.0,8900.0,9820300
2023-08-31,8910.0,9380.0,8890.0,9180.0,9180.0,35859200
2023-09-05,9200.0,9260.0,9150.0,9200.0,9200.0,14986400
2023-09-06,9250.0,9250.0,9090.0,9140.0,9140.0,22901300
2023-09-07,9200.0,9390.0,9180.0,9230.0,9230.0,23767700
2023-09-08,9300.0,9420.0,9180.0,9190.0,9190.0,26071200
2023-09-11,9180.0,9290.0,8900.0,8900.0,8900.0,23734600
2023-09-12,8900.0,8970.0,8730.0,8970.0,8970.0,14410700
2023-09-13,9010.0,9010.0,8720.0,8770.0,8770.0,16364900
2023-09-14,8750.0,8770.0,8480.0,8500.0,8500.0,20141900
2023-09-15,8520.0,8610.0,8480.0,8510.0,8510.0,7910400
2023-09-18,8510.0,8550.0,8410.0,8440.0,8440.0,6946500
2023-09-19,8450.0,8520.0,8290.0,8300.0,8300.0,10152400
2023-09-20,8400.0,8500.0,8350.0,8500.0,8500.0,6136700
2023-09-21,8550.0,8590.0,8460.0,8460.0,8460.0,6247000
2023-09-22,8350.0,8400.0,8030.0,8070.0,8070.0,15740600
2023-09-25,8070.0,8180.0,7510.0,7510.0,7510.0,11975400
