Date,Open,High,Low,Close,Adj Close,Volume
2020-05-08,25538.31,26253.0,25538.31,25585.96,24874.04,7608847.0
2020-05-11,25728.9,25919.48,25395.37,25728.9,25013.01,4574201.0
2020-05-12,25728.9,25919.48,25538.31,25919.48,25198.29,5977799.0
2020-05-13,26026.68,27149.94,25971.89,27040.36,26287.97,12618046.0
2020-05-14,26821.18,26903.37,26574.62,26684.2,25941.73,6821605.0
2020-05-15,26465.03,26793.79,26163.67,26300.65,25568.85,4436493.0
2020-05-18,26026.68,26492.43,25971.89,26492.43,25755.29,3688332.0
2020-05-19,26958.17,27232.13,26629.41,26985.56,26234.71,5473377.0
2020-05-20,26848.58,26848.58,26602.01,26793.79,26048.27,2272879.0
2020-05-21,26793.79,27012.96,26766.39,27012.96,26261.34,3662983.0
2020-05-22,26848.58,26848.58,26547.22,26547.22,25808.56,3160473.0
2020-05-25,26574.62,26629.41,26191.06,26547.22,25808.56,3856329.0
2020-05-26,26574.62,26738.99,26492.43,26738.99,25995.0,2988645.0
2020-05-27,26793.79,27067.75,26300.65,26300.65,25568.85,3869961.0
2020-05-28,26410.23,26629.41,26300.65,26300.65,25568.85,2219751.0
2020-05-29,26300.65,26355.44,26026.68,26273.25,25542.21,2496776.0
2020-06-01,26300.65,26492.43,26300.65,26465.03,25728.65,2957473.0
2020-06-02,26465.03,26574.62,26300.65,26300.65,25568.85,2784331.0
2020-06-03,26300.65,26821.18,26245.86,26656.8,25915.1,3567879.0
2020-06-04,26793.79,26793.79,26519.82,26519.82,25781.92,2421747.0
2020-06-05,26519.82,26684.2,26382.84,26684.2,25941.73,3084894.0
2020-06-08,26848.58,27396.51,26848.58,27040.36,26287.97,7692839.0
2020-06-09,27177.34,27204.73,26793.79,26821.18,26074.9,2798583.0
2020-06-10,26848.58,26848.58,26519.82,26738.99,25995.0,2436549.0
2020-06-11,26738.99,26738.99,25204.79,25204.79,24503.48,8446439.0
2020-06-12,24656.86,25752.72,24656.86,25752.72,25036.16,5795353.0
2020-06-15,26300.65,26300.65,25150.0,25204.79,24503.48,2240247.0
2020-06-16,25533.55,25643.13,25369.17,25533.55,24823.09,2121308.0
2020-06-17,25588.34,25615.74,25341.77,25396.56,24689.92,2169306.0
2020-06-18,25369.17,25588.34,25286.98,25533.55,24823.09,1501977.0
2020-06-19,25533.55,25752.72,25533.55,25752.72,25036.16,2100418.0
2020-06-22,25752.72,25752.72,25670.53,25752.72,25036.16,1704858.0
2020-06-23,25725.32,26519.82,25615.74,26054.08,25329.14,3749089.0
2020-06-24,26245.86,26273.25,25780.12,25862.3,25142.7,1107804.0
2020-06-25,25560.94,25807.51,25533.55,25643.13,24929.63,1333762.0
2020-06-26,25643.13,25834.91,25588.34,25670.53,24956.26,1100285.0
2020-06-29,25533.55,25533.55,25122.6,25232.19,24530.11,2338288.0
2020-06-30,25286.98,25423.96,24876.03,25013.01,24317.04,2909510.0
2020-07-01,25204.79,25369.17,25095.2,25314.38,24610.02,16392582.0
